confidence	sample	iteration	decoder	noise	low_confidence
999	SRR6750049	second	2	27165285	7841456
999	SRR6750049	first	3	13267381	8462895
999	SRR6750049	second	3	13267552	8462963
999	SRR6750050	first	1	72347765	11744333
999	SRR6750050	second	1	72359726	50812157
999	SRR6750050	first	2	41604451	12058294
999	SRR6750050	second	2	41605275	12986324
999	SRR6750050	first	3	19802575	12327491
999	SRR6750050	second	3	19803350	12329163
999	SRR6750051	first	1	58771089	10030727
999	SRR6750051	second	1	58778825	36556073
999	SRR6750051	first	2	33345873	10037104
999	SRR6750051	second	2	33346465	10199690
999	SRR6750051	first	3	16592155	10676380
999	SRR6750051	second	3	16592474	10677329
999	SRR6750052	first	1	39491675	9686097
999	SRR6750052	second	1	39498633	16098330
999	SRR6750052	first	2	21737174	8725541
999	SRR6750052	second	2	21737840	8843778
999	SRR6750052	first	3	10917741	10134696
999	SRR6750052	second	3	10917999	10134530
999	SRR6750053	first	1	55312361	12323307
999	SRR6750053	second	1	55325524	21242446
999	SRR6750053	first	2	31489228	10566318
999	SRR6750053	second	2	31490012	10738228
999	SRR6750053	first	3	16164120	12493232
999	SRR6750053	second	3	16165008	12492715
999	SRR6750054	first	1	52792425	10733513
999	SRR6750054	second	1	52800047	22023243
999	SRR6750054	first	2	29389325	9783029
999	SRR6750054	second	2	29389982	9944436
999	SRR6750054	first	3	14575105	11309936
999	SRR6750054	second	3	14575436	11309902
999	SRR6750055	first	1	52068649	9609881
999	SRR6750055	second	1	52077668	23953978
999	SRR6750055	first	2	29681336	9009491
999	SRR6750055	second	2	29682187	9188263
999	SRR6750055	first	3	14775312	9877875
999	SRR6750055	second	3	14775537	9878107
999	SRR6750056	first	1	60977964	12335897
999	SRR6750056	second	1	60979790	27274101
999	SRR6750056	first	2	33921912	11391328
999	SRR6750056	second	2	33929015	11638241
999	SRR6750056	first	3	16703582	13327591
999	SRR6750056	second	3	16707021	13325535
999	SRR6750057	first	1	57421957	12803952
999	SRR6750057	second	1	57429318	31301476
999	SRR6750057	first	2	30509437	12031154
999	SRR6750057	second	2	30610067	14342151
999	SRR6750057	first	3	14956331	14227919
999	SRR6750057	second	3	14981831	15080278
999	SRR6750058	first	1	77430663	13214930
999	SRR6750058	second	1	77495915	45743167
999	SRR6750058	first	2	44470130	13769230
999	SRR6750058	second	2	44472347	15496858
999	SRR6750058	first	3	23814939	11975694
999	SRR6750058	second	3	23816707	12004387
999	SRR6750059	first	1	84446576	15631431
999	SRR6750059	second	1	84544837	53944718
999	SRR6750059	first	2	46430581	15726576
999	SRR6750059	second	2	46651820	22599569
999	SRR6750059	first	3	26943450	12727904
999	SRR6750059	second	3	26980117	14543822
